á.	 'a
abatível.	 ,abatS'iveU
abaulagem.	 ,abaUl'aZeIN
abaular.	 ,abaUl'ar
abaunilhar.	 ,abaUnil^'ar
abavi.	 ,abav'i
abaviliano.	 ,abav,ili;'&~nU
abavúnculo.	 ,abav'u~NkulU
abaxial.	 ,abaksi;'aU
abaxoide.	 ,abaks'OIdZy
abaz.	 ab'as
abóbada.	 ,ab'Ob&d&
abbatiale.	 ,abIb,atSi;'aly
abbatissa.	 ,abIbatS'is&
abbevilliano.	 ,abIb,evili;'&~nU
abóboda.	 ,ab'Obod&
abóbora.	 ,ab'Obo*&
abóbora-cabaça.	 ,ab'Obo*&k,ab'as&
abóbora-carneira.	 ,ab'Obo*&k,a*@-n'eI*&
mbrola: Warning: r-n unkown, replaced with _-_
abóbora-chila.	 ,ab'Obo*&S'il&
abóbora-de-coroa.	 ,ab'Obo*&dZyk,o*'o&
abóbora-d'água.	 ,ab'Obo*&d'agw&
abóbora-do-mato.	 ,ab'Obo*&dUm'atU
abóbora-gila.	 ,ab'Obo*&Z'il&
abóbora-menina.	 ,ab'Obo*&m,en'in&
abóbora-porqueira.	 ,ab'Obo*&p,o*@-k'eI*&
mbrola: Warning: r-k unkown, replaced with _-_
abóboras-cabaça.	 ,ab'Obo*&sk,ab'as&
abóboras-cabaças.	 ,ab'Obo*&sk,ab'as&s
abóboras-carneiras.	 ,ab'Obo*&sk,a*@-n'eI*&s
mbrola: Warning: r-n unkown, replaced with _-_
abóboras-chila.	 ,ab'Obo*&sS'il&
abóboras-chilas.	 ,ab'Obo*&sS'il&s
